time,gFx,gFy,gFz,gFTotal,label
1.198552847,0.099,-0.293,-0.86,0.914,walk
1.198896885,0.099,-0.293,-0.86,0.914,walk
1.199216843,0.099,-0.293,-0.86,0.914,walk
1.201619864,0.081,-0.274,-0.866,0.912,walk
1.210235834,0.057,-0.264,-0.87,0.911,walk
1.22056675,0.029,-0.261,-0.87,0.909,walk
1.231109858,0.005,-0.265,-0.866,0.906,walk
1.24089694,-0.011,-0.278,-0.857,0.901,walk
1.251893997,-0.022,-0.295,-0.842,0.892,walk
1.261370897,-0.027,-0.317,-0.821,0.88,walk
1.274294853,-0.027,-0.339,-0.801,0.87,walk
1.296428919,-0.018,-0.36,-0.776,0.856,walk
1.296727896,-0.018,-0.36,-0.776,0.856,walk
1.300420761,-0.01,-0.363,-0.773,0.854,walk
1.314829826,0.006,-0.372,-0.775,0.86,walk
1.32069087,0.03,-0.389,-0.778,0.87,walk
1.331660748,0.046,-0.414,-0.788,0.891,walk
1.340724945,0.046,-0.44,-0.795,0.91,walk
1.350749969,0.046,-0.461,-0.791,0.917,walk
1.361151934,0.05,-0.492,-0.791,0.933,walk
1.396235943,0.046,-0.584,-0.828,1.014,walk
1.396518707,0.046,-0.584,-0.828,1.014,walk
1.396802902,0.046,-0.584,-0.828,1.014,walk
1.400032043,0.05,-0.6,-0.839,1.033,walk
1.410699844,0.053,-0.612,-0.861,1.058,walk
1.420756817,0.058,-0.623,-0.893,1.09,walk
1.43105793,0.071,-0.636,-0.934,1.132,walk
1.440738916,0.083,-0.642,-0.989,1.182,walk
1.450944901,0.095,-0.643,-1.051,1.236,walk
1.461188793,0.103,-0.647,-1.109,1.288,walk
1.494986057,0.032,-0.617,-1.169,1.322,walk
1.495306969,0.032,-0.617,-1.169,1.322,walk
1.495690823,0.032,-0.617,-1.169,1.322,walk
1.499995708,0.01,-0.601,-1.139,1.288,walk
1.510558844,0.011,-0.606,-1.107,1.262,walk
1.520344734,0.036,-0.619,-1.083,1.248,walk
1.530694008,0.071,-0.629,-1.061,1.235,walk
1.540447712,0.097,-0.636,-1.022,1.208,walk
1.550767899,0.117,-0.636,-0.983,1.177,walk
1.560933828,0.117,-0.623,-0.957,1.148,walk
1.595037937,0.073,-0.598,-0.976,1.147,walk
1.595316887,0.073,-0.598,-0.976,1.147,walk
1.595723867,0.073,-0.598,-0.976,1.147,walk
1.599900723,0.041,-0.561,-0.983,1.133,walk
1.610507965,0.01,-0.532,-0.987,1.121,walk
1.6202209,-0.023,-0.503,-0.986,1.107,walk
1.630809784,-0.057,-0.464,-0.972,1.079,walk
1.640555859,-0.085,-0.417,-0.942,1.034,walk
1.65076685,-0.103,-0.371,-0.912,0.99,walk
1.661027908,-0.107,-0.334,-0.877,0.945,walk
1.676200867,-0.106,-0.304,-0.849,0.908,walk
1.698216915,-0.085,-0.268,-0.837,0.883,walk
1.69845295,-0.085,-0.268,-0.837,0.883,walk
1.699935913,-0.076,-0.27,-0.804,0.852,walk
1.715045929,-0.078,-0.272,-0.775,0.825,walk
1.720193863,-0.083,-0.274,-0.761,0.813,walk
1.731402874,-0.094,-0.278,-0.776,0.83,walk
1.740355968,-0.104,-0.306,-0.83,0.891,walk
1.750677824,-0.091,-0.356,-0.85,0.926,walk
1.760965824,-0.098,-0.388,-0.842,0.932,walk
1.792421818,-0.106,-0.422,-0.818,0.927,walk
1.792695999,-0.106,-0.422,-0.818,0.927,walk
1.792936802,-0.106,-0.422,-0.818,0.927,walk
1.800154924,-0.08,-0.45,-0.82,0.939,walk
1.810183048,-0.051,-0.474,-0.792,0.924,walk
1.820244789,-0.03,-0.477,-0.74,0.881,walk
1.83045578,-0.007,-0.474,-0.693,0.84,walk
1.840688705,0.02,-0.475,-0.667,0.819,walk
1.85072279,0.04,-0.48,-0.666,0.822,walk
1.860904932,0.058,-0.486,-0.675,0.834,walk
1.896522045,0.06,-0.501,-0.724,0.882,walk
1.896826744,0.06,-0.501,-0.724,0.882,walk
1.897089005,0.06,-0.501,-0.724,0.882,walk
1.899799824,0.047,-0.501,-0.741,0.896,walk
1.910401821,0.039,-0.505,-0.761,0.914,walk
1.920385838,0.034,-0.511,-0.78,0.933,walk
1.930517912,0.037,-0.52,-0.794,0.95,walk
1.940369844,0.053,-0.537,-0.807,0.971,walk
1.950590849,0.075,-0.56,-0.822,0.997,walk
1.960679054,0.09,-0.585,-0.836,1.024,walk
1.995383739,0.087,-0.64,-0.867,1.081,walk
1.99562192,0.087,-0.64,-0.867,1.081,walk
1.995837927,0.087,-0.64,-0.867,1.081,walk
1.999547005,0.072,-0.641,-0.88,1.091,walk
2.010081768,0.053,-0.634,-0.9,1.102,walk
2.019909859,0.032,-0.619,-0.914,1.104,walk
2.030230999,0.017,-0.603,-0.926,1.105,walk
2.040230751,0.01,-0.588,-0.94,1.109,walk
2.050426006,0.011,-0.572,-0.954,1.112,walk
